date,year,name,isholiday,holidaycategory,description
20260101,2026,中華民國開國紀念日,是,放假之紀念日及節日,全國各機關學校放假一日。
20260103,2026,,是,星期六、星期日,
20260104,2026,,是,星期六、星期日,
20260110,2026,,是,星期六、星期日,
20260111,2026,,是,星期六、星期日,
20260117,2026,,是,星期六、星期日,
20260118,2026,,是,星期六、星期日,
20260124,2026,,是,星期六、星期日,
20260125,2026,,是,星期六、星期日,
20260131,2026,,是,星期六、星期日,
20260201,2026,,是,星期六、星期日,
20260207,2026,,是,星期六、星期日,
20260208,2026,,是,星期六、星期日,
20260214,2026,,是,星期六、星期日,
20260215,2026,,是,星期六、星期日,小年夜逢例假日，於2/20（五）補假一日
20260216,2026,除夕,是,放假之紀念日及節日,
20260217,2026,春節,是,放假之紀念日及節日,
20260218,2026,春節,是,放假之紀念日及節日,
20260219,2026,春節,是,放假之紀念日及節日,
20260220,2026,春節,是,補假,補假一日
20260221,2026,,是,星期六、星期日,
20260222,2026,,是,星期六、星期日,
20260227,2026,,是,補假,和平紀念日逢例假日，於2/27（五）補假一日
20260228,2026,和平紀念日,是,放假之紀念日及節日,
20260301,2026,,是,星期六、星期日,
20260307,2026,,是,星期六、星期日,
20260308,2026,,是,星期六、星期日,
20260314,2026,,是,星期六、星期日,
20260315,2026,,是,星期六、星期日,
20260321,2026,,是,星期六、星期日,
20260322,2026,,是,星期六、星期日,
20260328,2026,,是,星期六、星期日,
20260329,2026,,是,星期六、星期日,
20260403,2026,,是,補假,
20260404,2026,兒童節及民族掃墓節,是,放假之紀念日及節日,全國各機關學校放假一日，兒童節與民族掃墓節同一日，於四月三日補假一日。
20260405,2026,,是,星期六、星期日,4/5（日）清明節逢例假日，於4/6（一）補假一日
20260406,2026,,是,放假之紀念日及節日,
20260411,2026,,是,星期六、星期日,
20260412,2026,,是,星期六、星期日,
20260418,2026,,是,星期六、星期日,
20260419,2026,,是,星期六、星期日,
20260425,2026,,是,星期六、星期日,
20260426,2026,,是,星期六、星期日,
20260501,2026,勞動節,是,特定節日,全國各機關學校及勞工放假一日。
20260502,2026,,是,星期六、星期日,
20260503,2026,,是,星期六、星期日,
20260509,2026,,是,星期六、星期日,
20260510,2026,,是,星期六、星期日,
20260516,2026,,是,星期六、星期日,
20260517,2026,,是,星期六、星期日,
20260523,2026,,是,星期六、星期日,
20260524,2026,,是,星期六、星期日,
20260530,2026,,是,星期六、星期日,
20260531,2026,,是,星期六、星期日,
20260606,2026,,是,星期六、星期日,
20260607,2026,,是,星期六、星期日,
20260613,2026,,是,星期六、星期日,
20260614,2026,,是,星期六、星期日,
20260619,2026,端午節,是,放假之紀念日及節日,全國各機關學校放假一日。
20260620,2026,,是,星期六、星期日,
20260621,2026,,是,星期六、星期日,
20260627,2026,,是,星期六、星期日,
20260628,2026,,是,星期六、星期日,
20260704,2026,,是,星期六、星期日,
20260705,2026,,是,星期六、星期日,
20260711,2026,,是,星期六、星期日,
20260712,2026,,是,星期六、星期日,
20260718,2026,,是,星期六、星期日,
20260719,2026,,是,星期六、星期日,
20260725,2026,,是,星期六、星期日,
20260726,2026,,是,星期六、星期日,
20260801,2026,,是,星期六、星期日,
20260802,2026,,是,星期六、星期日,
20260808,2026,,是,星期六、星期日,
20260809,2026,,是,星期六、星期日,
20260815,2026,,是,星期六、星期日,
20260816,2026,,是,星期六、星期日,
20260822,2026,,是,星期六、星期日,
20260823,2026,,是,星期六、星期日,
20260829,2026,,是,星期六、星期日,
20260830,2026,,是,星期六、星期日,
20260903,2026,軍人節,是,特定節日,軍人依國防部規定辦理。
20260905,2026,,是,星期六、星期日,
20260906,2026,,是,星期六、星期日,
20260912,2026,,是,星期六、星期日,
20260913,2026,,是,星期六、星期日,
20260919,2026,,是,星期六、星期日,
20260920,2026,,是,星期六、星期日,
20260925,2026,中秋節,是,放假之紀念日及節日,全國各機關學校放假一日。
20260926,2026,,是,星期六、星期日,
20260927,2026,,是,星期六、星期日,
20260928,2026,教師節,是,放假之紀念日及節日,全國各機關學校放假一日。
20261003,2026,,是,星期六、星期日,
20261004,2026,,是,星期六、星期日,
20261009,2026,,是,補假,
20261010,2026,國慶日,是,放假之紀念日及節日,10/10（六）國慶日逢例假日，於10/9（五）補假一日
20261011,2026,,是,星期六、星期日,
20261017,2026,,是,星期六、星期日,
20261018,2026,,是,星期六、星期日,
20261024,2026,,是,星期六、星期日,
20261025,2026,光復節,是,放假之紀念日及節日,10/25（日）台灣光復節逢例假日，於10/26（一）補假一日
20261026,2026,,是,補假,
20261031,2026,,是,星期六、星期日,
20261101,2026,,是,星期六、星期日,
20261107,2026,,是,星期六、星期日,
20261108,2026,,是,星期六、星期日,
20261114,2026,,是,星期六、星期日,
20261115,2026,,是,星期六、星期日,
20261121,2026,,是,星期六、星期日,
20261122,2026,,是,星期六、星期日,
20261128,2026,,是,星期六、星期日,
20261129,2026,,是,星期六、星期日,
20261205,2026,,是,星期六、星期日,
20261206,2026,,是,星期六、星期日,
20261212,2026,,是,星期六、星期日,
20261213,2026,,是,星期六、星期日,
20261219,2026,,是,星期六、星期日,
20261220,2026,,是,星期六、星期日,
20261225,2026,行憲紀念日,是,放假之紀念日及節日,
20261226,2026,,是,星期六、星期日,
20261227,2026,,是,星期六、星期日,
